Id,Designator,Package,Quantity,Designation,Supplier and ref
1,"REF**,REF**",PinHeader_1x01_P2.54mm_Vertical,2,PinHeader_1x01_P2.54mm_Vertical,
2,U1,WSON-6_1.5x1.5mm_P0.5mm,1,TLV70233_WSON6,
3,"R7,R6",R_0402_1005Metric,2,4.7k,
4,R5,R_0402_1005Metric,1,10K,
5,"R4,R3",R_0402_1005Metric,2,499k,
6,"R2,R1",R_0402_1005Metric,2,412,
7,L1,L_0402_1005Metric,1,1.6nH,
8,K1,SOP254P610X218-8N,1,CPC2030N,
9,J3,USB_Micro-B_Molex_47346-0001,1,USB_B_Micro,
10,J2,PinHeader_1x06_P1.27mm_Vertical,1,Conn_01x06_Female,
11,J1,PinHeader_1x04_P2.54mm_Vertical,1,Conn_01x04_Male,
12,IC4,ESP32PICOD4,1,ESP32-PICO-D4,
13,IC3,BGA15C50P3X5_160X260X50,1,AFE4404YZPT,
14,IC2,SFH7050,1,SFH_7050,
15,IC1,SOP50P310X100-8N,1,74AUP2G00DC-Q100H,
16,"C13,C12,C2,C1",C_0402_1005Metric,4,1uF,
17,"C11,C7",C_0402_1005Metric,2,10uF,
18,"C10,C9,C8,C3",C_0402_1005Metric,4,0.1uF,
19,C6,C_0402_1005Metric,1,4.7pF,
20,"C5,C4",C_0402_1005Metric,2,2.7pF,
21,ANT1,ANT016008LCD1575MA1,1,ANT016008LCS2442MA1,
22,AC1,MC3635,1,MC3635,
